,weight
source,-0.9953471000827242
south,0.0
space,-1.0588775522350078
spacecom,0.0
spanish,-0.9989224646331646
spark,0.0
speak,1.2680406118299048
speaker,0.0
spec,0.0
special,0.0
specialization,0.0
speed,-1.1360494447886005
spell,0.0
sport,-0.9044868930009508
spot,0.9566463229494386
spread,0.0
spy,0.0
squirtorg,0.9566463229494386
ssd,-0.9560749092156596
st,0.0
stack,0.0
standard,0.0
stanford,0.0
star,0.0
start,1.0726849307028246
state,0.9315823489907545
statewide,0.0
statistic,0.0
stem,-1.1324832255405164
stepmom,0.0
still,1.0674358129112698
stop,0.0
store,0.0
story,1.1324326285096085
straight,0.0
strategy,0.0
stream,0.8416796528252134
streamable,1.7040754968142795
streamline,-1.1021370705519076
strong,0.0
stud,0.0
student,-2.377071908691748
studio,0.0
study,-0.9835445910895834
stuff,0.0
stun,0.0
style,-0.037811907788244746
stylish,-0.967089928384884
submit,0.0
success,0.0
suck,0.0
suicidegirls,1.2574725883566675
super,0.0
supply,0.0
support,-0.8445814296572062
surprise,0.0
suv,-0.7392822521066723
sweatpants,0.9146031415417226
sweatshirt,0.9146031415417226
swinger,1.0948376253085683
system,-0.8901360480765619
systemmodeler,0.0
tablet,-0.9953471000827242
tangga,0.0
tape,0.0
taste,0.0
tattooed,1.2574725883566675
tawar,0.0
taxidrivermoviecom,0.0
teach,-1.7763144395649118
teacher,0.0
tear,-2.6473484881562785
tech,-2.439188620532679
technical,0.0
technique,0.0
technology,-2.360146122338692
teen,0.0
teknologi,-1.0533275114519758
telusur,0.0
temu,-0.9979660187175328
ten,0.0
term,0.0
terobos,0.0
tesla,-1.7922008695881286
test,-0.8487610809183093
tester,0.0
texas,-0.8958455302214242
tgp,0.0
th,-1.9295400804612475
thing,-2.7937951555359635
thorough,0.0
thought,0.0
thousand,-0.8279497780126424
threaten,0.0
threesome,0.0
thumbnailed,0.0
tickle,0.0
tile,0.0
timely,0.0
tip,-0.9587797791925654
tit,2.7794415501780954
tnaflix,0.0
today,-0.8494947975991947
together,0.0
toko,-1.0533275114519758
tom,-1.8342855416107973
ton,0.0
tool,-0.5343353751592075
top,0.00032465747938072815
topic,0.0
topspeed,0.0
touch,0.0
tour,0.0
toy,1.0041260728542194
toyota,0.0
trade,1.1805860065304283
traffic,0.0
trailer,0.0
train,-1.0801853329808626
tranny,0.0
transform,0.0
trend,0.0
truck,0.0
true,0.0
truly,0.0
trust,0.7901559259362442
try,0.899039824717102
tube,2.4089206688358766
tubecom,0.0
