,Category,url,Description,description,title
188,Education,https://cambridge.org,"Cambridge University Press - Cambridge University Press advances learning, knowledge and research worldwide","We unlock the potential of millions of people. Our qualiﬁcations, assessments, academic publications and original research spread knowledge and spark enquiry.",Home | Cambridge University Press & Assessment
189,Education,https://iu.edu,Indiana University - Indiana University is a leading research and teaching institution and one of the best values in public education according to Kiplinger's.,"One of America’s leading research universities, Indiana University has campuses and medical centers located across Indiana. Our work improves lives. Our impact is global. Our vision is excellence.",Indiana University
190,Education,https://tes.co.uk,"The TES - Education Jobs, Teaching Resources, Magazine & Forums  - Latest news, comment, education jobs, teaching resources and discussion from the TES.",Tes is dedicated to supporting the world’s teachers. Our mission is to enable great teaching by helping educators to find the tools and technology they need to excel and by supporting them throughout their career and professional development.,"Tes - Education Jobs, Teaching Resources, School Software & Magazine"
191,Education,https://vdict.com,Vietnamese Dictionary and Translation - Từ điển và dịch tiếng Việt,,VDict - Vietnamese Dictionary
192,Education,https://ucsc.edu,"University of California, Santa Cruz - Four-year public institution comprised of ten residential college communities nestled in the redwood forests and meadows overlooking Monterey Bay.",A world-class public research institution comprised of ten residential college communities nestled in the redwood forests and meadows overlooking central California's Monterey Bay.,"University of California, Santa Cruz"
193,Education,https://nus.edu.sg,"NUS - Home - A research-intensive university with an entrepreneurial dimension, NUS is ranked consistently as one of the world's top universities. We offer the most extensive selection of academic programmes in Singapore, collaborating with leading universities worldwide to provide our students wit",National University of Singapore is ranked consistently as one of the world's top universities. We offer the most extensive college degree courses in Singapore.,NUS - National University of Singapore
194,Education,https://ecollege.com,"Pearson eCollege - eCollege provides a comprehensive, on-demand eLearning solution to online education institutions. The eCollege solution includes an industry-leading CMS, powerful Program Administration System, a complete hosting infrastructure and comprehensive system support",error,error
195,Education,https://englishtown.com,"Learn English Online - Englishtown               - Learn to speak English with native English teachers online now.  The largest and most advanced online English school empowers you to learn English anytime, anywhere. Results guaranteed.  ",error,error
196,Education,https://capella.edu,Online Accredited College Degree Programs - Capella University           - Capella University offers accredited online degree programs for adults who seek to reach their professional goals and make a difference in the lives of others.,"Capella University is an accredited online university offering PhD, professional doctorate, master’s and bachelor’s programs for adults seeking to advance their career.",Capella University | Online Degrees from an Accredited University
197,Education,https://faqs.org,Internet FAQ Archives - Online Education - faqs.org,error,error
198,Education,https://ualberta.ca,University of Alberta,"The University of Alberta is a Top 5 Canadian university located in Edmonton, Alberta, and home to 40,000 students in a wide variety of programs.",University of Alberta
199,Education,https://schoolloop.com,"School Loop | School Loop. In school and on track. - School Loop is a mission-driven company that develops hosted software services for K-12 schools  that put the student at the center of the systems designed to keep them in school and on track.    Created by a high school teacher in 2004, School L",,~School Loop Inc.
200,Education,https://unsw.edu.au,The University of New South Wales,UNSW is ranked 2nd in Australia and 27th in the world for Graduate Employability. Browse our range of study options and find the perfect one for you.,UNSW Sydney | One of the best universities in Australia
201,Education,https://byu.edu,Brigham Young University,"The official website of Brigham Young University | Provo, UT",Home - BYU
202,Education,https://uiuc.edu,"University of Illinois at Urbana-Champaign - Information for students, alumni, and parents from Illinois’ flagship public university, a world leader in research, teaching, and public engagement.","Information for students, alumni, and parents from Illinois flagship public university, a world leader in research, teaching, and public engagement.",Home | University of Illinois Urbana-Champaign
203,Education,https://alaska.edu,Visit UAF's Fairbanks Campus--information about summer tours and attractions.,,UA System | University of Alaska System
204,Education,https://uic.edu,University of Illinois at Chicago - UIC - UIC,"Located in the heart of one of the world’s great cities, the University of Illinois Chicago is a vital part of the educational, technological and cultural fabric of the region. As Chicago’s only public research university with more than 33,000 students, 16 colleges, a hospital and a health sciences system, UIC provides students access to excellence and opportunity.",University of Illinois Chicago
205,Education,https://manchester.ac.uk,The University of Manchester,"Part of the prestigious Russell Group of universities, The University of Manchester is the largest single-site university in the UK, with the biggest student community.",The University of Manchester
206,Education,https://linguee.com,"Linguee – Dictionary for German, French, Spanish, Portuguese, English","English Dictionary and Translation Search with 1,000,000,000 example sentences from human translators. Languages: English, German, French, Spanish, and Portuguese","Linguee | Dictionary for German, French, Spanish, and more"
207,Education,https://onthehub.com,"The latest software for back to school at great academic & student discounts! | OnTheHub - Download the latest software for back to school at amazing student discounts.  We offer student discount software and academic discount software on products by Microsoft, Adobe, Minitab, SPSS, JMP, Parall","Download the latest software with academic discounts from OnTheHub. Save on Microsoft, Adobe, SPSS, Parallels & more as a student, faculty or staff member.","Save up to 95% with Academic Software Discounts for Students, Faculty, and Staff | OnTheHub"
208,Education,https://oup.com,Oxford University Press - homepage - 'home' />,home,Oxford University Press - homepage
209,Education,https://thestudentroom.co.uk,"The Student Room - Where GCSE, A Level and university students share academic and social knowledge: from study help, to choosing a university, careers, and student life","The UK's biggest student community. Boost your grades, learn with free study tools, find your perfect uni place & get answers to any question on the forums.",The Student Room
210,Education,https://pearsoned.com,Pearson | Always Learning,"Offering educational products and services, assessment, and professional development for all stages of learning. Learn more.",Pearson | The world's learning company | US
211,Education,https://eslcafe.com,Dave's ESL Cafe,"Since 1995 Dave's ESL Cafe has been a meeting place for ESL/EFL students & teachers from around the world -  jobs,  a resume database, forums,  resources, & more!",Home Page -  ESL
212,Education,https://bab.la,Online dictionaries by bab.la - loving languages - Search translations in the dictionary and have fun learning languages with vocabulary lessons and many free games and quizzes.,error,error
213,Education,https://studymode.com,"Free Term Papers, Research Papers, Essays, Book Notes | StudyMode.com - StudyMode offers book notes, free essays, course notes, flashcards and other tools. Millions of students use us to help with their homework assignments.","Find A+ essays, research papers, book notes, course notes and writing tips. Millions of students use StudyMode to jumpstart their assignments.",Free Essay Examples and Research Papers | StudyMode
214,Education,https://monash.edu.au,"Monash University - Monash University is a youthful organisation, enthusiastic, optimistic and accessible. We believe quality education and research can change the world for the better. We have locations in Australia, South Africa, Malaysia, Italy and India.  ",Monash University is one of Australia’s leading universities and ranks among the world’s top 100. We help change lives through research and education. Learn more.,Monash University - one of the top universities in Australia
215,Education,https://tradepub.com,"Free Business, Computer, Engineering and Trade Magazines, White Papers, Reports, and eBooks - Browse through our extensive list of free Business, Computer, Engineering and Trade magazines, white papers, downloads and eBooks to find the titles that best match your skills; topics include management, ","#1 Resource for Free Professional and Technical Research, White Papers, Case Studies, Magazines, and eBooks","Free Professional and Technical Research Library of White Papers, Magazines, Reports, and eBooks"
216,Education,https://worddictionary.co.uk,English Dictionary - WordDictionary.co.uk - The most comprehensive English language dictionary with reverse look-up. A trusted resource for vocabulary building & grammar usage in English. Subscribe now.,error,error
217,Education,https://usg.edu,"University System of Georgia - The University System of Georgia oversees 35 colleges and universities: four research universities, two regional universities, 13 state universities, eight state colleges, and eight two-year colleges. These institutions enroll more than 283,000 students and employ ove",,University System of Georgia
218,Education,https://indiastudychannel.com,"India schools, colleges, education, entrance practice tests, aptitude questions   - IndiaStudyChannel.com offers comprehensive information about the schools, colleges and universities in India along with an opportunity for students to earn part time revenue for students during their regular educati","IndiaStudyChannel.com is the best education portal and college admissions website in India providing admission guidance, comprehensive information on study abroad programs, courses in India, directory of Indian universities, colleges and schools.","Study in India: Admissions to Top Colleges - MBA, MCA, MBBS, B Tech, BBA"
219,Education,https://glosbe.com,"Online dictionary - Online dictionary. Almost all languages available, millions of translations",error,error
220,Education,https://bharatstudent.com,"Indian Friends Online Community|Social Network India|Indian Student - India's Largest Free Social Community Networking Site for Indian friends & Indian student.Friends,Gangs,Film News,Gossips,Photo Galleries,Wallpapers of Actor&Actress,Information On Study Abroad,free admissions,Upload Videos @Camp",error,error
0,Cars,https://mapquest.com,"MapQuest Maps - Driving Directions - Map - Use MapQuest for driving directions and maps.  See local traffic and road conditions, find nearby businesses and restaurants, plus explore street maps and satellite photos.","Official MapQuest website, find driving directions, maps, live traffic updates and road conditions.  Find nearby businesses, restaurants and hotels. Explore!","Official MapQuest - Maps, Driving Directions, Live Traffic"
1,Cars,https://autotrader.com,"New Cars, Used Cars - Find Cars at AutoTrader.com - Find used cars and new cars for sale at AutoTrader.com.  With millions of cars, finding your next new car or used car and the car reviews and information you're looking for is easy at AutoTrader.com. :",,Autotrader - page unavailable
2,Cars,https://cars.com,"New Cars, Used Cars, Car Reviews | Cars.com - Use Cars.com to search 2.6 million new & used car listings or get a dealer quote. Our easy-to-use online tools put you a step ahead in your next vehicle purchase.","Shop new & used cars, research & compare models, find local dealers/sellers,calculate payments, value your car, sell/trade in your car & more at Cars.com.","New Cars, Used Cars, Car Dealers, Prices & Reviews | Cars.com"
3,Cars,https://kbb.com,"Official Kelley Blue Book New Car and Used Car Prices and Values   - Let Kelley Blue Book help you find the right car today! Begin your car search at kbb.com, The Trusted Resource. Whats your car worth? Research car quotes, photos, videos, reviews, and more from the automotive industry experts. Blu",error,error
4,Cars,https://ford.com,"Ford – New Cars, Trucks, SUVs, Hybrids & Crossovers | Ford Vehicles  - The Official Ford Site to research, learn and shop for all new Ford Vehicles. View photos, videos, specs, compare competitors, build and price, search inventory and more on Ford.com.","Ford® is Built for America. Discover the latest lineup in new Ford vehicles! Explore hybrid & electric vehicle options, see photos, build & price, search inventory, view pricing & incentives & see the latest technology & news happening at Ford.","Ford® - New Hybrid & Electric Vehicles, SUVs, Crossovers, Trucks, Vans & Cars"
5,Cars,https://edmunds.com,"New Cars, Used Cars, Car Reviews and Pricing - Edmunds.com - Edmunds car buying guide lists new car prices, used car prices, car comparisons, car buying advice, car ratings, car values, auto leasing.",error,error
6,Cars,https://jalopnik.com,Jalopnik - Drive Free or Die - Car news and reviews for the auto enthusiast.,Drive free or die.,Jalopnik
7,Cars,https://statefarm.com,"State Farm - Car Insurance Quotes - Save on Auto Insurance - State Farm offers more discounts to more drivers than any other insurance company. Get a free quote today and see how you can save on auto, home, life and more.",error,error
8,Cars,https://carfax.com,CARFAX® - Official Site - Vehicle History Reports on Used Cars for Sale - Show me the CARFAX! Get instant vehicle history reports on used cars for sale and avoid costly hidden problems. Don't get stuck with a lemon!,error,error
9,Cars,https://autoblog.com,"Autoblog - We Obsessively Cover the Auto Industry - Get up-to-the-minute automotive news along with reviews, podcasts, high-quality photography and commentary about automobiles and the auto industry.","Autoblog brings you car news; expert reviews of cars, trucks, crossovers and SUVs; and pictures and video. Research and compare vehicles, find local dealers, calculate loan payments, find your car's book value and get a service estimate at Autoblog.com.","New Cars, Used Cars for Sale, Car Reviews and Car News"
10,Cars,https://carid.com,CARiD.com - Car Accessories & Parts,Car Accessories and replacement Auto Parts that define your vehicle's true identity. Check out our automotive aftermarket selection for the ride of your life!,"CARiD.com - Auto Parts & Accessories | Car, Truck, SUV, Jeep"
11,Cars,https://progressive.com,"Car Insurance: Auto Insurance & Insurance Quotes - Progressive -         Buy and compare car insurance at Progressive.com and save money. Progressive offers insurance quotes on auto insurance, motorcycle, boat, RV, home and more. Get online insurance quotes today!",error,error
12,Cars,https://geico.com,"GEICO | Auto insurance - Saving people money on more than car insurance - GEICO, Government Employees Insurance Company, has been providing affordable auto insurance since 1936. You can trust GEICO to offer low car insurance rates.",error,error
13,Cars,https://honda.com,"Honda.com: Official Site of American Honda Motor Co., Inc. - Honda.com - the official site for Honda cars, motorcycles, personal watercraft, ATVs, engines, lawn mowers, generators, marine motors, and Acura cars.",Explore an innovative line of quality products from American Honda Motor Company. Find the latest news and information on Honda and Acura brand products.,"American Honda Motor Co., Inc. - Official Site"
14,Cars,https://toyota.com,"Toyota Official site | Toyota Cars, Trucks & SUVs - Official Toyota site. Find the most up-to-date information on all Toyota cars, trucks, SUVs, hybrids & accessories.","Explore the newest Toyota trucks, cars, SUVs, hybrids and minivans. See photos, compare models, get tips, calculate payments, and more.","New Cars, Trucks, SUVs & Hybrids | Toyota Official Site"
