,Unnamed: 0,Unnamed: 0.1,Category,url,Description,description,title
38,38,38,Education,https://columbia.edu,Columbia University in the City of New York,,Columbia University in the City of New York
39,39,39,Education,https://usc.edu,"University of Southern California - The University of Southern California is one of the world's leading private research universities, located in the heart of Los Angeles. ","The University of Southern California is a leading private research university located in Los Angeles — a global center for arts, technology and international business. It is home to the College of Letters, Arts and Sciences and 21 exceptional academic schools and units. USC’s Health Sciences campus houses renowned specialized care and research in cancer, stem cell and regenerative medicine, orthopedics and sports medicine. The university is the largest private sector employer in the city of Los Angeles, responsible for $8 billion annually in economic activity in the region.",University of Southern California
40,40,40,Education,https://cornell.edu,"Cornell University - Cornell University contains seven undergraduate colleges plus the College of Veterinary Medicine, the Law School, the Samuel Curtis Johnson Graduate School of Management, the Weill Cornell Medical College in New York City and Doha, Qatar, and the 93 fields of study in the Gradu","Cornell University is a private research university that provides an exceptional education for undergraduates and graduate and professional students. Cornell's colleges and schools encompass more than 100 fields of study, with locations in Ithaca, New York, New York City and Doha, Qatar.",Cornell University
41,41,41,Education,https://purdue.edu,"Welcome to Purdue University - Purdue University is a major research institution known for discoveries in science, technology, engineering, math and beyond. Founded in 1869 in West Lafayette, Indiana, the University proudly serves its state as well as the nation and the world. More than 39,000 stud","Purdue University is a world-renowned, public research university that advances discoveries in science, technology, engineering and math. With its flagship campus in West Lafayette, Indiana, Purdue is a land-grant university with a system that has statewide campuses and online, adult-learning and polytechnic programs.",Purdue University - Indiana's Land Grant University
42,42,42,Education,https://searchquotes.com,"Quotes and Sayings - Search Quotes - Best collection of famous quotes and sayings on the web! Quotes from famous authors, movies and people. Amazing quotes to bring inspiration, personal growth, love and happiness to your everyday life.","Best collection of famous quotes and sayings on the web! Quotes from famous authors, movies and people. Amazing quotes to bring inspiration, personal growth, love and happiness to your everyday life.",Quotes and Sayings - SearchQuotes
43,43,43,Education,https://vt.edu,"Virginia Tech | Invent the Future - Virginia Polytechnic Institute and State University (Virginia Tech) is a public land-grant university serving the Commonwealth of Virginia, the nation, and the world community. The discovery and dissemination of new knowledge are central to its mission. Through i",,Home | Virginia Tech
44,44,44,Education,https://rosettastone.com,"Official Rosetta Stone® - Learn a Language Online - Learn Spanish - Learn Spanish, French & more with Rosetta Stone®, the #1 online language-learning software. Learn English, Italian, German & more with our language program.",Rosetta Stone is the best way to learn a foreign language. The award-winning language solution combines proven learning methods with the world's best speech recognition technology.,Official Rosetta Stone® - Language Learning - Learn a Language
45,45,45,Education,https://acronymfinder.com,"Abbreviations and acronyms dictionary: Find definitions for over 4,219,000 abbreviations, acronyms, and initialisms - Acronym Finder: The Acronym Finder is a searchable database of over 4 million acronyms, abbreviations and meanings. Covers: common acronyms, computers, science, technology, governme",Acronym Finder is the largest and most trusted database of over 4 million acronyms and abbreviations. What does an abbreviation stands for? The answer is here,Abbreviations and acronyms dictionary
46,46,46,Education,https://wisc.edu,University of Wisconsin–Madison,"The University of Wisconsin is a top-ranked research institution located in Madison, Wisconsin, providing exceptional education opportunities to undergraduates, graduate and professional students.",University of Wisconsin–Madison
47,47,47,Education,https://coursera.org,Coursera.org,"Learn online and earn valuable credentials from top universities like Yale, Michigan, Stanford, and leading companies like Google and IBM. Join Coursera for free and transform your career with degrees, certificates, Specializations, & MOOCs in data science, computer science, business, and dozens of other topics.",Coursera | Online Courses & Credentials From Top Educators. Join for Free
48,48,48,Education,https://nyu.edu,New York University,,NYU
49,49,49,Education,https://instructure.com,"Home | Canvas by Instructure - Canvas is the new, open-source learning management system that's revolutionizing the way we educate. Easy to learn, easy to use. Sign up for a free trial today!","Instructure's educational software includes Canvas LMS, used by schools and universities worldwide. Learn why Instructure is a great place to work and to invest in.",Instructure | Educational Software Development
50,50,50,Education,https://washington.edu,University of Washington,University of Washington,UW Homepage
51,51,51,Education,https://udacity.com,Advance Your Education With Free College Courses Online - Udacity - Discover free online classes from top instructors and industry experts. Take courses at your own pace. See what we have to offer.,"Learn online and advance your career with courses in programming, data science, artificial intelligence, digital marketing, and more. Gain in-demand technical skills. Join today!",Learn the Latest Tech Skills; Advance Your Career | Udacity
52,52,52,Education,https://metmuseum.org,The Metropolitan Museum of Art - Home  ,,
53,53,53,Education,https://education.com,"Education.com | An Education & Child Development Site for Parents | Parenting & Educational Resource - Education.com provides activities, worksheets, videos, expert advice and a school directory to give parents information and ideas to help kids reach their full potential and make learning fun.","Get a learning boost with thousands of worksheets, games, lesson plans, and more from our library of printable and digital resources for preschool, kindergarten, and elementary learners.",Education.com | #1 Educational Site for Pre-K to 8th Grade
54,54,54,Education,https://psu.edu,"Penn State - A public research university serving Pennsylvania and the global community - Penn State Homepage, Penn State","Penn State is a major, public, research-I university serving Pennsylvania and the global community. Learn more about our undergraduate, graduate, and doctoral degree programs.",The Pennsylvania State University | Penn State
55,55,55,Education,https://spellingcity.com,Spelling & Vocabulary Website: SpellingCity - Teaching spelling and vocabulary is easy with VocabularySpellingCity! Students can study and learn their word lists using vocabulary and spelling learning activities and games. Students can take final or practice spelling and vocabulary tests right ,Improve knowedge of vocabulary words with spelling practice from VocabularySpellingCity. Our engaging phonics games for kids help students become spelling masters.,Vocabulary Words - Spelling Practice - Phonics Games for Kids
56,56,56,Education,https://osu.edu,"Welcome - The Ohio State University - Ohio State is one of the largest universities in the nation. It's also home to a diverse group of the best and brightest people in the world: dedicated faculty, passionate students, and innovative researchers who make Ohio State one of the world's tru","Discover Ohio State, the highest ranked public university in Ohio, is home to the Wexner Medical Center and world-class graduate and undergraduate programs.",The Ohio State University
57,57,57,Education,https://ncsu.edu,"North Carolina State University | Tradition and Transformation - Learn more about North Carolina State University, located in Raleigh, N.C., and consistently recognized as one of the nation's top public universities.","Discover North Carolina State University, a leading public research university located in Raleigh, North Carolina.",NC State University
58,58,58,Education,https://fullsail.edu,"Full Sail University: Campus and Online Degrees - Full Sail University is an Award-Winning School for Entertainment Media that offers an exceptional education in both on-campus and online associates, bachelors, and masters degree programs.",error,error
59,59,59,Education,https://ucla.edu,"UCLA - UCLA (University of California, Los Angeles) is the largest UC campus in terms of enrollment, and one of the few public research universities located in a major city.","UCLA advances knowledge, addresses pressing societal needs and creates a university enriched by diverse perspectives were all individuals can flourish.",UCLA
60,60,60,Education,https://yale.edu,"Yale University - Yale University comprises three major academic components: Yale College (the undergraduate program), the Graduate School of Arts and Sciences, and the professional schools.","Since its founding in 1701, Yale University has been dedicated to expanding and sharing knowledge, inspiring innovation, and preserving cultural and scientific information for future generations.",Yale University
61,61,61,Education,https://ufl.edu,University of Florida,"As a top 5 public research university, Florida fosters a uniquely collaborative environment that transforms potential into actual results. Learn more.",Home | University of Florida
62,62,62,Education,https://bu.edu,Boston University - Boston University is a leading private research institution with two primary campuses in the heart of Boston and programs around the world.,Boston University is a leading private research institution with two primary campuses in the heart of Boston and programs around the world.,Homepage | Boston University
63,63,63,Education,https://mathsisfun.com,"Math is Fun - Maths Resources - Math explained in easy language, plus puzzles, games, quizzes, worksheets and a forum. For K-12 kids, teachers and parents.","Math explained in easy language, plus puzzles, games, worksheets and an illustrated dictionary. For K-12 kids, teachers and parents.",Math is Fun
64,64,64,Education,https://edline.net,Edline,error,error
65,65,65,Education,https://wiktionary.org,Wiktionary - Wiktionary.,,Wiktionary
66,66,66,Education,https://shmoop.com,"Shmoop: Homework Help, Teacher Resources, Test Prep - Rollicking homework help, teacher resources, and online test prep. Homework help lovingly written by PhD students from Stanford, Harvard, Berkeley",The cozy home of your favorite free study guides and the most helpful study tools around! Check out our new digs and get the help you need!,Homework Help & Study Guides For Students | Shmoop
67,67,67,Education,https://forvo.com,"Forvo: the pronunciation guide. All the words in the world pronounced by native speakers - Forvo: the largest word pronunciation dictionary in the world, now with translations. All the words in all the languages pronounced by native speakers",error,error
68,68,68,Education,https://teacherspayteachers.com,"TeachersPayTeachers.com - An Open Marketplace for Original Lesson Plans and Other Teaching Resources - TeachersPayTeachers.com -- 300,000+ free and priced teaching resources created by teachers for download including lesson plans, unit plans, novel studies, worksheets, printables, PowerPoint Presen",World’s most popular online marketplace for original educational resources with more than four million resources available for use today.,Teaching Resources & Lesson Plans | Teachers Pay Teachers
69,69,69,Education,https://craftsy.com,"Crafting Classes, Patterns & Inspiration | Craftsy: Learn It. Make It. - Join Craftsy, a community of passionate crafters featuring online classes about all your favorite crafts including quilting, sewing & cake decorating.","Craftsy is your online resource for all creative makers, where you can find everything you need – from basic instruction to advanced techniques.",Craftsy.com | Express Your Creativity! | Engage your passion with Craftsy and learn to make something beautiful!
70,70,70,Education,https://chronicle.com,Home - The Chronicle of Higher Education,,
71,71,71,Education,https://asu.edu,"Arizona State University - Arizona State University in Metro Phoenix, Arizona",,Arizona State University | Arizona State University
72,72,72,Education,https://thinkexist.com,"Find the famous quotes you need, ThinkExist.com Quotations. - ThinkExist.com Quotations is your source for famous quotes from thousands of famous people. Search or browse more than 300,000 quotations, subscribe to the popular Quote of the Day.",error,error
73,73,73,Education,https://quotationspage.com,"Quotes and Famous Sayings - The Quotations Page - Your source for quotations from famous people and literature. Search or browse over 27,000 quotations from thousands of authors. Includes the popular Quotes of the Day, Motivational Quotes of the Day, Quote Search, and Random Quotations pages. ",error,error
74,74,74,Education,https://discoveryeducation.com,"Welcome to Discovery Education | Discovery Education                   - Powered by the number 1 non-fiction media brand in the world, Discovery Education transforms classrooms and inspires teachers with engaging content and services that measure and improve student achievement. ",,
75,75,75,Education,https://webopedia.com,Webopedia: Online Computer Dictionary for Computer and Internet Terms and Definitions - An online computer dictionary and internet search engine for internet terms and technical support.,Webopedia is the most comprehensive information technology reference. Read computer definitions and study guides now.,"Webopedia: IT & Computer Dictionary, Study Guides & Reviews"
76,76,76,Education,https://colorado.edu,University of Colorado Boulder,"The University of Colorado Boulder is a bold, innovative community of scholars and learners who accelerate human potential to solve the humanitarian, social and technological challenges of our time. Come to CU Boulder and discover what you can be.",Home | University of Colorado Boulder
